contract_code,contract_name
001602,WHEAT-SRW 
002602,CORN
004603,OATS
005602,SOYBEANS
007601,SOYBEAN OIL
020601,UST BOND
022651,NY HARBOR ULSD
023651,NAT GAS NYME
025651,ETHANOL
026603,SOYBEAN MEAL
033661,COTTON NO. 2
039601,ROUGH RICE
040701,FRZN CONCENTRATED ORANGE JUICE
042601,UST 2Y NOTE
043602,UST 10Y NOTE
044601,UST 5Y NOTE
045601,FED FUNDS
054642,EURO SHORT TERM RATE
057642,LEAN HOGS
058643,LIVE CATTLE
058644,LUMBER
061641,FEEDER CATTLE
067651,WTI-PHYSICAL
06765T,BRENT LAST DAY
073732,COCOA
075651,PALLADIUM
076651,PLATINUM
080732,SUGAR NO. 11
083731,COFFEE C
084691,SILVER
085692,COPPER- #1
088691,GOLD
090741,CANADIAN DOLLAR
092741,SWISS FRANC
095741,MEXICAN PESO
096742,BRITISH POUND
097741,JAPANESE YEN 
098662,USD INDEX
099741,EURO FX
102741,BRAZILIAN REAL
111659,GASOLINE RBOB
112741,NZ DOLLAR
1170E1,VIX FUTURES
122741,SO AFRICAN RAND
124603,DJIA x $5
133741,BITCOIN
135731,CANOLA
13874A,E-MINI S&P 500
146021,ETHER CASH SETTLED
209742,NASDAQ MINI
221602,BBG COMMODITY
232741,AUSTRALIAN DOLLAR
232742,RUSSELL E-MINI
240743,NIKKEI STOCK AVERAGE YEN DENOM
244041,MSCI EAFE
244042,MSCI EM INDEX
299741,EURO FX/BRITISH POUND XRATE
399741,EURO FX/JAPANESE YEN XRATE
